"text,label"
"Alabama,LOCATION_STATE"
"Alaska,LOCATION_STATE"
"Arizona,LOCATION_STATE"
"Arkansas,LOCATION_STATE"
"California,LOCATION_STATE"
"Colorado,LOCATION_STATE"
"Connecticut,LOCATION_STATE"
"Delaware,LOCATION_STATE"
"Florida,LOCATION_STATE"
"Georgia,LOCATION_STATE"
"Hawaii,LOCATION_STATE"
"Idaho,LOCATION_STATE"
"Illinois,LOCATION_STATE"
"Indiana,LOCATION_STATE"
"Iowa,LOCATION_STATE"
"Kansas,LOCATION_STATE"
"Kentucky,LOCATION_STATE"
"Louisiana,LOCATION_STATE"
"Maine,LOCATION_STATE"
"Maryland,LOCATION_STATE"
"Massachusetts,LOCATION_STATE"
"Michigan,LOCATION_STATE"
"Minnesota,LOCATION_STATE"
"Mississippi,LOCATION_STATE"
"Missouri,LOCATION_STATE"
"Montana,LOCATION_STATE"
"Nebraska,LOCATION_STATE"
"Nevada,LOCATION_STATE"
"New Hampshire,LOCATION_STATE"
"New Jersey,LOCATION_STATE"
"New Mexico,LOCATION_STATE"
"New York,LOCATION_STATE"
"North Carolina,LOCATION_STATE"
"North Dakota,LOCATION_STATE"
"Ohio,LOCATION_STATE"
"Oklahoma,LOCATION_STATE"
"Oregon,LOCATION_STATE"
"Pennsylvania,LOCATION_STATE"
"Rhode Island,LOCATION_STATE"
"South Carolina,LOCATION_STATE"
"South Dakota,LOCATION_STATE"
"Tennessee,LOCATION_STATE"
"Texas,LOCATION_STATE"
"Utah,LOCATION_STATE"
"Vermont,LOCATION_STATE"
"Virginia,LOCATION_STATE"
"Washington,LOCATION_STATE"
"West Virginia,LOCATION_STATE"
"Wisconsin,LOCATION_STATE"
"Wyoming,LOCATION_STATE"
"""Bush, Prescott Sheldon, Jr."",PERSON"
"""Butler, Keith A."",PERSON"
"""Butterworth, Bob"",PERSON"
"""Byrd, Harold W."",PERSON"
"""Byrd, Harry Flood, Jr."",PERSON"
"""Byrd, Robert Carlyle"",PERSON"
"""Cabaniss, William Jelks, Jr. (Bill)"",PERSON"
"""Campaigne, Tony"",PERSON"
"""Campbell, Ben Nighthorse"",PERSON"
"""Campbell, Tom"",PERSON"
"""Cannon, Howard Walter"",PERSON"
"""Cantwell, Maria E."",PERSON"
"""Capehart, Homer Earl"",PERSON"
"""Capps, William "",PERSON"
"""Cardin, Benjamin Louis (Ben)"",PERSON"
"""Cardon, Will"",PERSON"
"""Carey, John"",PERSON"
"""Carlos, Lucero"",PERSON"
"""Carlson, David"",PERSON"
"""Carmona, Richard"",PERSON"
"""Carnahan, Jean"",PERSON"
"""Carnahan, Mel"",PERSON"
"""Carnahan, Robin"",PERSON"
"""Carney, John"",PERSON"
"""Carper, Thomas Richard (Tom)"",PERSON"
"""Carr, Milton Robert (Bob)"",PERSON"
"""Carr, Waggoner"",PERSON"
"""Carraro, Joseph (Joe)"",PERSON"
"""Carson, Brad"",PERSON"
"""Carswell, George Harrold"",PERSON"
"""Carter, Earl Leroy (Buddy )"",PERSON"
"""Case, Clifford Philip"",PERSON"
"""Case, Edward Espenett (Ed)"",PERSON"
"""Casey, Robert Patrick, Jr. (Bob)"",PERSON"
"""Castle, Michael Newbold (Mike)"",PERSON"
"""Castor, Elizabeth (Betty)"",PERSON"
"""Castro, Bernadette"",PERSON"
"""Cavasso, Campbell (Cam)"",PERSON"
"""Chachas, John"",PERSON"
"""Chafee, John Lester Hubbard"",PERSON"
"""Chafee, Lincoln Davenport"",PERSON"
"""Chambliss, Saxby"",PERSON"
"""Chandler, Rodney Dennis (Rod)"",PERSON"
"""Chavez, Linda"",PERSON"
"""Checota, Joseph W. (Joe)"",PERSON"
"""Cheney, Liz"",PERSON"
"""Chiles, Lawton Mainor, Jr."",PERSON"
"""Church, Frank Forrester"",PERSON"
"""Ciresi, Mike"",PERSON"
"""Clark,  Joseph Sill"",PERSON"
"""Clark, Richard Clarence (Dick)"",PERSON"
"""Clark, Walter"",PERSON"
"""Clatworthy, Raymond (Ray)"",PERSON"
"""Clayburgh, Ben"",PERSON"
"""Cleland, Joseph Maxwell (Max)"",PERSON"
"""Clement, Frank Goad"",PERSON"
"""Clement, Robert Nelson (Bob)"",PERSON"
"""Clinton, Hillary Rodham"",PERSON"
"""Close, Elliott Springs"",PERSON"
"""Clymer, Jim"",PERSON"
"""Coakley, Martha"",PERSON"
"""Coats, Andrew"",PERSON"
"""Coats, Daniel Ray (Dan)"",PERSON"
"""Coburn, Thomas Allen (Tom)"",PERSON"
"""Cochran, William Thad"",PERSON"
"""Codey, Dick"",PERSON"
"""Cofrin, Doug"",PERSON"
"""Cohen, William Sebastian (Bill)"",PERSON"
"""Coleman, Curtis"",PERSON"
"""Coleman, J. Marshall"",PERSON"
"""Coleman, Norman Bertram (Norm)"",PERSON"
"""Coles, Michael"",PERSON"
"""Collins, James Mitchell"",PERSON"
"""Collins, Leroy"",PERSON"
"""Collins, Susan Margaret"",PERSON"
"""Colville, Bob"",PERSON"
"""Colvin, Milton"",PERSON"
"""Confrin, Doug"",PERSON"
"""Conlin, Roxanne"",PERSON"
"""Conrad, Gaylord Kent"",PERSON"
"""Conryn, John"",PERSON"
"""Conway, Jack"",PERSON"
"""Cook, Marlow Webster"",PERSON"
"""Cooksey, John"",PERSON"
"""Coon, Jon"",PERSON"
"""Coons, Christopher A."",PERSON"
"""Cooper, James Hayes Shofner (Jim)"",PERSON"
"""Cooper, James Ralph (Jim)"",PERSON"
"""Cooper, John Sherman"",PERSON"
"""Coors, Peter Hanson (Pete)"",PERSON"
"""Coppersmith, Sam"",PERSON"
"""Corcoran, Thomas (Tom)"",PERSON"
"""Corker, Robert Phillips (Bob), Jr. "",PERSON"
"""Cornyn, John"",PERSON"
"""Corzine, Jon Stevens"",PERSON"
"""Costle, Douglas"",PERSON"
"""Coulter, Nate"",PERSON"
"""Courtney, Jon"",PERSON"
"""Coverdell, Paul Douglas"",PERSON"
"""Cozzens, Chuck"",PERSON"
"""Craig, Larry Edwin"",PERSON"
"""Cramer, William Cato (Bill)"",PERSON"
"""Cranston, Alan MacGregor"",PERSON"
"""Crapo, Michael Dean"",PERSON"
"""Crist, Charles Joseph, Jr. (Charlie)"",PERSON"
"""Crozier, William (Bill)"",PERSON"
"""Cruz, Rafael Edward (Ted)"",PERSON"
"""Cuddy, David (Dave)"",PERSON"
"""Culver, John Chester"",PERSON"
"""Cunningham, George V."",PERSON"
"""Cunningham, James Calvin (Cal)"",PERSON"
"""Curtis, Carl Thomas"",PERSON"
"""Dahl, Demar"",PERSON"
"""D'Amato, Alfonse Marcello"",PERSON"
"""D'Amboise, Scott"",PERSON"
"""D'Amours, Norman Edward (Norm)"",PERSON"
"""Danforth, John Claggett"",PERSON"
"""Daniels, Jack"",PERSON"
"""Dannemeyer, William"",PERSON"
"""D'Annunzio, Tim"",PERSON"
"""Dantzler, Richard E. (Rick)"",PERSON"
"""Darrow, Russ"",PERSON"
"""Daschle, Thomas Andrew (Tom)"",PERSON"
"""Daub, Harold John, Jr. (Hal)"",PERSON"
"""Davis, John Edward"",PERSON"
"""Davis, Joseph Graham, Jr. (Gray)"",PERSON"
"""Davis, Natalie"",PERSON"
"""Davis, William Eugene (Bud)"",PERSON"
"""Davis, William True, Jr. (True)"",PERSON"
"""Dawkins, Maurice Anderson"",PERSON"
"""Dawkins, Peter Miller"",PERSON"
"""Dayton, Mark"",PERSON"
"""Deakin, Jim"",PERSON"
"""Deal, J. Nathan "",PERSON"
"""Dean, Charles S., Sr. (Charlie)"",PERSON"
"""DeConcini, Dennis Webster"",PERSON"
"""Deddeh, Wadie"",PERSON"
"""DeGreen, Keith"",PERSON"
"""Delaney, John"",PERSON"
"""DeMint, James Warren (Jim)"",PERSON"
"""Denton, Jeremiah Andrew, Jr."",PERSON"
"""Detert, Nancy C."",PERSON"
"""Deutsch, Peter R."",PERSON"
"""Dewhurst, David"",PERSON"
"""DeWine, Richard Michael (Mike)"",PERSON"
"""Dexter, Kristen"",PERSON"
"""Dick, Nancy"",PERSON"
"""Didier, Clint"",PERSON"
"""Didrickson, Loleta"",PERSON"
"""Dirksen, Everett McKinley"",PERSON"
"""Dixon, Alan John"",PERSON"
"""Docking, Jill"",PERSON"
"""Dodd, Christopher John"",PERSON"
"""Dodd, Thomas Joseph"",PERSON"
"""Dodge, Andrew"",PERSON"
"""Doggett, Lloyd Anton, II"",PERSON"
"""Dole, Elizabeth Hanford"",PERSON"
"""Dole, Robert Joseph (Bob)"",PERSON"
"""Domenici, Pete Vichi"",PERSON"
"""Dominick, Peter Hoyt"",PERSON"
"""Donchess, James W. (Jim)"",PERSON"
"""Donnelly, Joseph Simon (Joe)"",PERSON"
"""Dorgan, Byron Leslie"",PERSON"
"""Dougherty, John"",PERSON"
"""Douglas, Jim"",PERSON"
"""Douglas, Paul Howard"",PERSON"
"""Dowdy, Charles Wayne"",PERSON"
"""Driver, Mario"",PERSON"
"""Droney, John J."",PERSON"
"""Duffey, Joseph D."",PERSON"
"""Duke, David"",PERSON"
"""Duncan, Robert Blackford (Bob)"",PERSON"
"""Dunlap, Matt"",PERSON"
"""Dunn, James Whitney"",PERSON"
"""Dunn, Pete"",PERSON"
"""Durant, Clark"",PERSON"
"""Durbin, Richard Joseph (Dick)"",PERSON"
"""Durenberger, David Ferdinand (Dave)"",PERSON"
"""Durkin, John Anthony"",PERSON"
"""DuVal, Clive Livingston, Jr."",PERSON"
"""Dykstra, Joel"",PERSON"
"""Eagleton, Thomas Francis (Tom)"",PERSON"
"""Earl, Anthony S. (Tony)"",PERSON"
"""Easley, Mike"",PERSON"
"""East, John Porter"",PERSON"
"""Eckerd, Jack M."",PERSON"
"""Eckman, Hal"",PERSON"
"""Eden, Cathy"",PERSON"
"""Edgar, Robert William (Bob)"",PERSON"
"""Edmondson, Edmond Augustus (Ed)"",PERSON"
"""Edmondson, James Howard (J. Howard)"",PERSON"
"""Edwards, John"",PERSON"
"""Eichhorn, George"",PERSON"
"""Ellsworth, Brad"",PERSON"
"""Emery, David Farnham"",PERSON"
"""Engeleiter, Susan Shannon"",PERSON"
"""Ensign, John Eric"",PERSON"
"""Enzi, Michael B. (Mike)"",PERSON"
"""Erickson, John Edward"",PERSON"
"""Esch, Marvin Leonel"",PERSON"
"""Eskind, Jane Greenebaum"",PERSON"
"""Evers, Greg"",PERSON"
"""Exon, John James (Jim)"",PERSON"
"""Faircloth, Duncan McLauchlin (Lauch)"",PERSON"
"""Faris, Priscilla Lord"",PERSON"
"""Farmer, Nancy"",PERSON"
"""Faulk, Mike"",PERSON"
"""Feingold, Russell Dana (Russ)"",PERSON"
"""Feinstein, Dianne"",PERSON"
"""Fenwick, Millicent"",PERSON"
"""Ferguson, Joel"",PERSON"
"""Ferguson, Scott"",PERSON"
"""Ferraro, Geraldine"",PERSON"
"""Fieger, Geoffrey"",PERSON"
"""Fields, Jack M., Jr."",PERSON"
"""Finch, Walter Goss Gilcrist"",PERSON"
"""Finney, Joan"",PERSON"
"""Fiorina, Carly"",PERSON"
"""Fischer, Debra (Deb)"",PERSON"
"""Fisher, Greg"",PERSON"
"""Fisher, Lee"",PERSON"
"""Fisher, Richard Welton"",PERSON"
"""Fithian, Floyd James"",PERSON"
"""Fitzgerald, Jeff"",PERSON"
"""Fitzgerald, Peter G. "",PERSON"
"""Fitzpatrick, Thomas M."",PERSON"
"""Flaherty, Peter F. (Pete)"",PERSON"
"""Flake, Jeffrey Lane (Jeff)"",PERSON"
"""Fleming, Erik R."",PERSON"
"""Florio, James J. (Jim)"",PERSON"
"""Flynn, Matthew (Matt)"",PERSON"
"""Foley, Leo Thomas"",PERSON"
"""Foley, Tom"",PERSON"
"""Fong, Matthew Kip Ling (Matt)"",PERSON"
"""Ford, Harold Eugene, Jr."",PERSON"
"""Ford, Wendell Hampton"",PERSON"
"""Forrester, Douglas (Doug)"",PERSON"
"""Fowler, Wyche, Jr."",PERSON"
"""Frahm, Sheila"",PERSON"
"""Franken, Al"",PERSON"
"""Franks, Gary"",PERSON"
"""Franks, Robert Douglas (Bob)"",PERSON"
"""Freilich, Daniel"",PERSON"
"""Frist, William Harrison (Bill)"",PERSON"
"""Fulbright, James William (J.) "",PERSON"
"""Furman, Hal"",PERSON"
"""Gable, Robert Elledy (Bob)"",PERSON"
"""Galifianakis, Nick"",PERSON"
"""Gallagher, Doug"",PERSON"
"""Gallagher, Tom"",PERSON"
"""Gambrell, David Henry"",PERSON"
"""Gann, Paul"",PERSON"
"""Ganske, John Greg"",PERSON"
"""Gantt, Harvey Bernard"",PERSON"
"""Garcia, Jos Antonio, Jr. (Joe)"",PERSON"
"""Gardner, Bob"",PERSON"
"""Garland, Ray Lucian"",PERSON"
"""Garvey, Edward R. (Ed)"",PERSON"
"""Gaylor, Bill"",PERSON"
"""George, Gary R."",PERSON"
"""Giannoulias, Alexi"",PERSON"
"""Gibson, James"",PERSON"
"""Gilbreath, Wes"",PERSON"
"""Gillibrand, Kristen Elizabeth"",PERSON"
"""Gilligan, John Joyce"",PERSON"
"""Gilmore, James Stuart, III"",PERSON"
"""Gingrich, Newton Leroy (Newt)"",PERSON"
"""Giordano, Phil"",PERSON"
"""Giuliani, Rudolph William Lewis, III (Rudy)"",PERSON"
"""Givot, Steve"",PERSON"
"""Glassman, Rodney"",PERSON"
"""Glenn, Gary"",PERSON"
"""Glenn, John Herschel, Jr."",PERSON"
"""Goland, Michael"",PERSON"
"""Goldwater, Barry Morris"",PERSON"
"""Goode, Virgil Hamlin, Jr."",PERSON"
"""Goodell, Charles Ellsworth"",PERSON"
"""Gordon, Houston"",PERSON"
"""Gore, Albert Arnold, Jr. (Al)"",PERSON"
"""Gormley, William L. (Bill)"",PERSON"
"""Gorton, Thomas Slade, III (Slade)"",PERSON"
"""Grady, John"",PERSON"
"""Graham, Chris"",PERSON"
"""Graham, Daniel Robert (Bob)"",PERSON"
"""Graham, Lindsey O."",PERSON"
"""Gramm, William Philip (Phil)"",PERSON"
"""Grams, Rod"",PERSON"
"""Grassley, Charles Ernest (Chuck)"",PERSON"
"""Gravel, Maurice Robert (Mike)"",PERSON"
"""Graves, Cody"",PERSON"
"""Gray, William Preston (Bill)"",PERSON"
"""Grayson, Trey"",PERSON"
"""Green, Mark"",PERSON"
"""Green, William Joseph, III (Bill)"",PERSON"
"""Greene, Jeff"",PERSON"
"""Gregg, John"",PERSON"
"""Gregg, Judd Alan"",PERSON"
"""Gregory, Richard D."",PERSON"
"""Griego, Eric"",PERSON"
"""Griffes, Mike"",PERSON"
"""Griffin, Robert Paul"",PERSON"
"""Grimes, Alison Lundergan"",PERSON"
"""Gringrey, John Phillip (Phil)"",PERSON"
"""Grogan, George"",PERSON"
"""Gross, Nelson G."",PERSON"
"""Grossman, Sam"",PERSON"
"""Growe, Joan Anderson"",PERSON"
"""Guest, James A."",PERSON"
"""Gunderson, Matt"",PERSON"
"""Gunter, William Dawson, Jr. (Bill)"",PERSON"
"""Gurney, John Edward"",PERSON"
"""Guthrie, Bruce"",PERSON"
"""Guy, William Lewis (Bill)"",PERSON"
"""Haar, Charlene K."",PERSON"
"""Hackett, Paul Lewis, III"",PERSON"
"""Haddock, Ethel Doris (Granny)"",PERSON"
"""Hagan, Kay"",PERSON"
"""Hagel, Charles Timothy (Chuck)"",PERSON"
"""Halter, Bill"",PERSON"
"""Handel, Karen Christine"",PERSON"
"""Hansen, Clifford Peter"",PERSON"
"""Hansen, George Vernon"",PERSON"
"""Hansen, Philip (Phil)"",PERSON"
"""Harkin, Thomas Richard (Tom)"",PERSON"
"""Harnett, Tommy"",PERSON"
"""Harper, Kenneth Marion (Ken)"",PERSON"
"""Harris, Claude, Jr."",PERSON"
"""Harris, Fred Roy"",PERSON"
"""Harris, Katherine"",PERSON"
"""Hart, Gary Warren"",PERSON"
"""Hart, Philip Aloysius"",PERSON"
"""Hartke, Rupert Vance"",PERSON"
"""Haskell, Floyd Kirk"",PERSON"
"""Hasner, Adam"",PERSON"
"""Hatch, Orrin Grant"",PERSON"
"""Hatfield, Mark Odom"",PERSON"
"""Hatfield, Paul Gerhart"",PERSON"
"""Hathaway, William Dodd (Bill)"",PERSON"
"""Hawkins, Paula"",PERSON"
"""Hayakawa, Samuel Ichiye (S.I.)"",PERSON"
"""Hayden, Thomas Emmett (Tom)"",PERSON"
"""Hayes, James A. (Jimmy)"",PERSON"
"""Hayes, Philip Harold (Phil)"",PERSON"
"""Haynes, Joe"",PERSON"
"""Haytaian, Garabed (Chuck)"",PERSON"
"""Hayworth, John David, Jr. (J.D.)"",PERSON"
"""Healy, Bernadine"",PERSON"
"""Heath, Josie"",PERSON"
"""Hecht, Jacob Chic"",PERSON"
"""Heflin, Howell Thomas"",PERSON"
"""Heinrich, Martin Trevor"",PERSON"
"""Heinz, Henry John, III (John)"",PERSON"
"""Heitkamp, Mary Kathryn (Heidi)"",PERSON"
"""Hekman, Randy"",PERSON"
"""Heller, Dean"",PERSON"
"""Helmke, Paul"",PERSON"
"""Helms, Jesse Alexander"",PERSON"
"""Hendriksen, Margie"",PERSON"
"""Henry, Steve"",PERSON"
"""Hergert, Dave"",PERSON"
"""Herron, Roy"",PERSON"
"""Herschensohn , Bruce"",PERSON"
"""Hibbard, Henry Sieben (Hank)"",PERSON"
"""Hill, Baron Paul"",PERSON"
"""Hill, Earl "",PERSON"
"""Hill, Tim"",PERSON"
"""Hinck, Jon"",PERSON"
"""Hinckley, Barry"",PERSON"
"""Hirono, Mazie Keiko"",PERSON"
"""Hoch, Nancy"",PERSON"
"""Hoeffel, Joseph M. (Joe)"",PERSON"
"""Hoekstra, Pete"",PERSON"
"""Hofeld, Al"",PERSON"
"""Hoff, Philip Henderson"",PERSON"
"""Hogan, Lawrence Joseph (Larry)"",PERSON"
"""Hogsett, Joseph H. (Joe)"",PERSON"
"""Hollings, Ernest Frederick (Fritz)"",PERSON"
"""Holt, Jim"",PERSON"
"""Holtzman, Elizabeth"",PERSON"
"""Hopkins, Stephen"",PERSON"
"""Hostettler, John Nathan"",PERSON"
"""Hovde, Eric"",PERSON"
"""Howard, Gene C."",PERSON"
"""Howell, Carla"",PERSON"
"""Howell, Scott"",PERSON"
"""Huckabee, Michael Dale (Mike)"",PERSON"
"""Huddleston, Walter Darlington (Dee)"",PERSON"
"""Huelskamp, Tim"",PERSON"
"""Huffington, Michael"",PERSON"
"""Huffman, Jim"",PERSON"
"""Hughes, Harold Everett"",PERSON"
"""Hughes, Harry Roe"",PERSON"
"""Humphrey, Gordon John"",PERSON"
"""Humphrey, Hubert Horatio III (Skip)"",PERSON"
"""Humphrey, Hubert Horatio, Jr."",PERSON"
"""Humphreys, Kirk"",PERSON"
"""Hunt, James Baxter Jr. (Jim)"",PERSON"
"""Hustace, Maria"",PERSON"
"""Hutchinson, Asa"",PERSON"
"""Hutchinson, Frank"",PERSON"
"""Hutchinson, Tim"",PERSON"
"""Hutchison, Kathryn Ann Bailey (Kay)"",PERSON"
"""Hyatt, Joel"",PERSON"
"""Ieyoub, Richard Phillip"",PERSON"
"""Inglis, Robert Durden (Bob)"",PERSON"
"""Inhofe, James Mountain (Jim)"",PERSON"
"""Inouye, Daniel Ken (Dan)"",PERSON"
"""Irvin, Robert (Bob)"",PERSON"
"""Isakson, John Hardy (Johnny)"",PERSON"
"""Issa, Darrell E."",PERSON"
"""Jackson, E.W"",PERSON"
"""Jackson, Henry Martin (Scoop)"",PERSON"
"""James, Mike"",PERSON"
"""Janezich, Jerry"",PERSON"
"""Janklow, William John (Bill)"",PERSON"
"""Javits, Jacob Koppel"",PERSON"
"""Jeffords, James Merrill (Jim)"",PERSON"
"""Jenkins, Louis Elwood (Woody)"",PERSON"
