text	label
Committee to elect Charlie Summers	ENTITY
Committee to Elect John Stone for Congress	ENTITY
Committee to Elect Jonathan George to Congress	ENTITY
Committee to Elect the 7 Sitting Judges	ENTITY
Competition Ohio	ENTITY
Considine	ENTITY
Countdown to Majority PAC	ENTITY
Crossroads Grassroots Policy Strategies	ENTITY
Curt Clawson-The Outsider for Congress Committee	ENTITY
CWA	ENTITY
Dan Bongino for US Senate	ENTITY
Daschle Democrats	ENTITY
David For Georgia	ENTITY
David Jolly Republican for Congress	ENTITY
David Lewis for Congress	ENTITY
David McIntosh for Indiana	ENTITY
David Perdue for US Senate	ENTITY
Dean Young for Congress Committee	ENTITY
Declaration Alliance	ENTITY
Defenders of Wildlife Action Fund	ENTITY
Delaware Democratic State Committee	ENTITY
Delvis Dutton for Congress	ENTITY
Democracy for America	ENTITY
Democratic Congressional Campaign Committee	ENTITY
Democratic Congressional Victory Fund	ENTITY
Democratic Farmers Labor Party	ENTITY
Democratic National Committee	ENTITY
Democratic National Congressional Committee	ENTITY
Democratic Party of Arkansas	ENTITY
Democratic Party of Georgia	ENTITY
Democratic Party of Illinois	ENTITY
Democratic Party of Indiana	ENTITY
Democratic Party of New Mexico	ENTITY
Democratic Party of Oregon	ENTITY
Democratic Party of South Carolina	ENTITY
Democratic Party of Tennessee	ENTITY
Democratic Party of Virginia	ENTITY
Democratic Party of Wisconsin	ENTITY
Democratic Senate Campaign Committee	ENTITY
Democratic Senatorial Campaign Committee	ENTITY
Democratic Social Campaign Committee	ENTITY
Dick McDonald	ENTITY
Donald A. Manzullo for Congress	ENTITY
Donnelly for Indiana	ENTITY
Dr. F. Christopher Arterton	ENTITY
Dr. John McGoff for Congress	ENTITY
Dr. Rad for U.S. Senate Committee	ENTITY
DSCC / Democratic Senatorial Campaign Committee	ENTITY
Duckworth for Congress	ENTITY
East Texas Citizens for Good Government	ENTITY
Edgington for Congress	ENTITY
Elect Esrati	ENTITY
Emily's List-Michigan Women Vote	ENTITY
Eugene Yu for US Congress	ENTITY
Every Child Matters	ENTITY
Exon	ENTITY
Family Research Council PAC	ENTITY
Felicia Harris for US Congress Committee	ENTITY
Fight Back South Dakota	ENTITY
First American Education Project	ENTITY
Fletcher & Rowley Consulting Inc	ENTITY
Florida	ENTITY
Florida Democratic Party	ENTITY
Florida Realtors Association	ENTITY
Floridians For Justice	ENTITY
For America	ENTITY
Foundation For Patients Rights	ENTITY
Foundation For Responsible Government	ENTITY
Fred Smith for Congress	ENTITY
Free Enterprise Fund Committee	ENTITY
Freedom's Watch	ENTITY
Freedomworks for America	ENTITY
Friends of Carl Domino	ENTITY
Friends of David Baria	ENTITY
Friends of Dick Lugar	ENTITY
Friends of Jack Kingston	ENTITY
Friends of Jeff Sessions	ENTITY
Friends of Jim Bridenstine INC	ENTITY
Friends of John Delaney	ENTITY
Friends of Liberty for Jessica	ENTITY
Friends of Matt Temperley for Congress	ENTITY
Friends of Rowland	ENTITY
Friends of Senator D'Amato	ENTITY
Friends of Stephen Simpson	ENTITY
Friends of Steven Welch	ENTITY
Friends of Tom Welch	ENTITY
Fund for a Conservative Majority	ENTITY
Garagiola for Congress	ENTITY
Gary Gerrard for Congress	ENTITY
George Allen for Senate	ENTITY
George Faught for Congress	ENTITY
George Holding for Congress	ENTITY
Georgia Democratic Party	ENTITY
Georgia Republican Party	ENTITY
Gingrey for US Senate	ENTITY
Gounares for Congress Committee	ENTITY
Graham Veysey for Congress	ENTITY
Gwen and Lewis	ENTITY
Handel for Senate	ENTITY
Handgun control	ENTITY
Harriman for Congress	ENTITY
Health Benefits Coalition	ENTITY
Healthcare for America Now	ENTITY
Healthcare Workers of SEIU	ENTITY
Heidel for Congress	ENTITY
Heller for Senate	ENTITY
Henry Ross Republican for Congress	ENTITY
Herb Kohl for U.S. Senate Campaign	ENTITY
Herron for Congress	ENTITY
Hice US Congress	ENTITY
Hoekstra for Senate	ENTITY
Hoosiers for Richard Mourdock	ENTITY
House Democratic Caucus Fund	ENTITY
House Majority PAC	ENTITY
Humane USA	ENTITY
Humane USA Political Action Comm	ENTITY
Idaho Citizens Network	ENTITY
Idaho Democratic Party	ENTITY
Illinois Democratic Party	ENTITY
Illinois Peace Action	ENTITY
Illinois Republican Party	ENTITY
Illinois Women Vote!/EMILY's List	ENTITY
Independent Citizens Committee	ENTITY
Indiana Democratic Party	ENTITY
Indiana Republican State Central Committee	ENTITY
Iowa Democratic Party	ENTITY
It's Time for a Change PAC	ENTITY
Jack Lugar for Congress	ENTITY
Jacobsen for Congress	ENTITY
James Farwell	ENTITY
James M Dwinell	ENTITY
Jamie Blaine for Congress	ENTITY
Jason Moon	ENTITY
Jeff Flake for US Senate	ENTITY
Jeff Sessions for Senate	ENTITY
Jeff Sessions for U.S. Senate	ENTITY
Jim Abbott for Congress	ENTITY
Jim Hickey for America	ENTITY
Jim Jordan for Congress	ENTITY
Jim Renacci	ENTITY
Jimmie Moore for Congress	ENTITY
Joaquin Castro Democrat for Congress	ENTITY
Joe for America	ENTITY
Joe for Congress 2012	ENTITY
Joe Slade White	ENTITY
Joe Slade White and Company	ENTITY
Joe Vaughn for Congress	ENTITY
John McCallum for Congress	ENTITY
John Stone for Congress	ENTITY
John Tierney for Congress	ENTITY
John Whitley for Congress	ENTITY
JohnTree.com	ENTITY
Jon Bruning for US Senate	ENTITY
Josh Caesar for US Congress	ENTITY
Jude Lenahan for Judge	ENTITY
Justin Hewlett for Congress	ENTITY
Kansas City Peaceworks	ENTITY
Kansas Democratic State Committee	ENTITY
Karim Olaechea	ENTITY
Ken Aden for Congress Campaign	ENTITY
Ken Fortenberry for Congress	ENTITY
Kentuckians for Employee Freedom	ENTITY
Kentucky Democratic Party	ENTITY
Kerry Bentivolio for US Congress	ENTITY
Kilroy for Congress	ENTITY
Kinzinger for Congress	ENTITY
Konst for Congress	ENTITY
La Rocco	ENTITY
Law Enforcement Alliance of America	ENTITY
League of Conservation Voters Action Fund	ENTITY
League of Conservative Voters	ENTITY
Levine for Mayor	ENTITY
Liberal Party of New York State	ENTITY
Lingle for Senate	ENTITY
Louisiana Democratic Party	ENTITY
Louisiana Republican Party	ENTITY
Maine	ENTITY
Maine Democratic Party	ENTITY
Maine Republican Party	ENTITY
Majority Action	ENTITY
Maria Sheffield for Congress	ENTITY
Mario Driver US Senate 2014	ENTITY
Mark Anderson Campaign	ENTITY
Mark Bircher for Congress	ENTITY
Mark McKinnon	ENTITY
Maryland Democratic Party	ENTITY
Matt Goetten for Congress 2012	ENTITY
Matt Krause Campaign	ENTITY
Michael Levinson for Congress	ENTITY
Michael Owen for Congress	ENTITY
Michigan Chamber of Commerce	ENTITY
Michigan Democratic Central Committee	ENTITY
Michigan Democratic Party	ENTITY
Michigan Democratic State	ENTITY
Michigan Democratic State Central Committee	ENTITY
Michigan Peace Action	ENTITY
Michigan Republican State Committee	ENTITY
Minnesota Democratic Farmer Labor Party	ENTITY
Minnesota DFL Party	ENTITY
Minuteman PAC	ENTITY
Mississippi Democratic Party	ENTITY
Mississippi Republican Party Authorized by Carolyn Crawford for House District 121	ENTITY
Missouri Democratic Party	ENTITY
Missouri Democratic State Committee	ENTITY
Missouri Republican Party	ENTITY
Missouri Republican State Committee	ENTITY
Montana Democratic Party	ENTITY
Montana Republican Party	ENTITY
Montana Republican State Central Committee	ENTITY
Montanans for Common Sense Mining Laws	ENTITY
Montgomery County Peace Action	ENTITY
Montigel for Congress	ENTITY
Move On	ENTITY
MoveOn.org Political Action	ENTITY
Murray for Congress Committee	ENTITY
Muse for U.S. Senate	ENTITY
Nancy Jacobs for Congress	ENTITY
Nathan Deal For Governor	ENTITY
National Abortion Rights Action League	ENTITY
National Association of Realtors PAC	ENTITY
National Conservative PAC	ENTITY
National Conservative PAC (Truth Squad	ENTITY
National Conservative Political Action Committee	ENTITY
National Corruption Watch	ENTITY
National Education Association	ENTITY
National Education Association PAC	ENTITY
National Federation of Independent Business	ENTITY
National Pro-Life Alliance	ENTITY
National Rep Congressional Comm/Rep National Comm	ENTITY
National Republican Campaign Committee	ENTITY
National Republican Congressional Committee	ENTITY
National Republican Party of Louisiana	ENTITY
National Republican Senatorial Campaign Committee	ENTITY
National Republican Trust PAC	ENTITY
National Rifle Association Political Fund	ENTITY
National Rifle Association Political Victory Fund	ENTITY
National Right to Work Committee	ENTITY
Natural Resources Defense Council	ENTITY
NEA Fund for Children and Public Education	ENTITY
Nebraska Citizen Action	ENTITY
Nebraska Democratic Party	ENTITY
Nebraska Republican State Central Committee	ENTITY
Nevada Democratic Party	ENTITY
Nevada Republican Party	ENTITY
Nevada Republican Party Central Committee	ENTITY
Nevada Republican State Central Committee	ENTITY
New Democratic Network	ENTITY
New Hampshire Democratic Party	ENTITY
New Hampshire Democratic State Committee	ENTITY
New Hampshire Peace Action	ENTITY
New Hampshire Republican State Committee	ENTITY
New Jersey Democratic Party	ENTITY
New Jersey Peace Action	ENTITY
New Jersey Peacevoter 2000	ENTITY
New Jersey Republican Committee	ENTITY
New Jersey Republican State Committee	ENTITY
New Mexico Democratic Party	ENTITY
New York Democratic Party	ENTITY
New York Democrats	ENTITY
New York Republican State Committee	ENTITY
New York State Conservative Party	ENTITY
New York State Democratic Committee	ENTITY
New York State NARAL	ENTITY
News segment from Nevada TV	ENTITY
Non-Partisan League	ENTITY
North Carolina Democratic Party	ENTITY
North Carolina Peace Action	ENTITY
North Dakota Democratic Party	ENTITY
North Dakota Republican Party	ENTITY
NRA-Political Victory Fund	ENTITY
NRA-PVF	ENTITY
Nunn for Senate	ENTITY
O'Donnell for Congress	ENTITY
Ohio Democratic Party	ENTITY
Ohio Republican Party	ENTITY
Ohioans for Jobs and Progress	ENTITY
Oklahoma Democratic Party	ENTITY
Oklahoma Republican Party	ENTITY
Oregon Democratic Party	ENTITY
Oregon Democrats	ENTITY
Oregon Republican Party	ENTITY
Our Country Deserves Better PAC	ENTITY
Our Country Deserves Better PAC/ Tea Party Express.org	ENTITY
Owens for Congress	ENTITY
Paid By The Candidate	ENTITY
Paid for by Hal Douglas	ENTITY
Paid for by Harris for Senate Club	ENTITY
Paid for by Taliaferro for Congress Committee	ENTITY
Paid for by Volunteers for Monroney	ENTITY
Paige Kregel for Congress	ENTITY
Pantano for North Carolina	ENTITY
Pascrell for Congress	ENTITY
Patriot Majority	ENTITY
Paul Broun for US Senate	ENTITY
Paul Sand	ENTITY
Peace Action	ENTITY
Peace Action Maine	ENTITY
Peace Action of New York State	ENTITY
Peace Action of the Delaware Valley	ENTITY
Peace Action of Washington	ENTITY
Pennsylvania Democratic Party	ENTITY
Pennsylvania House Democratic Campaign Committee	ENTITY
Pennsylvania Voters 2000	ENTITY
People for the American Way	ENTITY
People Supporting Tom Daschle Committee	ENTITY
Peters for Congress	ENTITY
Political announcement paid for by Hal Douglas	ENTITY
Priscilla Tyson Democrat for Congress	ENTITY
Pro-Republican PAC-(Tim Wirth Truth Squad)	ENTITY
Protect Colorado's Future	ENTITY
Public Campaign Action Fund	ENTITY
Public Campaign and Campaign for America's Future	ENTITY
Raja for Congress	ENTITY
Raja Krishnamoorthi for Congress	ENTITY
Randy Weber Republican for US Congress	ENTITY
Realtors Political Action Committee	ENTITY
Re-elect Earl Hillard	ENTITY
Reform Voter Project	ENTITY
Republican Education Fund	ENTITY
Republican Jewish Coalition	ENTITY
Republican Leadership Council	ENTITY
Republican Main Street Partnership PAC	ENTITY
Republican National Committee	ENTITY
Republican Party of Arkansas	ENTITY
Republican Party of Florida	ENTITY
Republican Party of Georgia	ENTITY
Republican Party of Iowa	ENTITY
Republican Party of Kentucky	ENTITY
Republican Party of Louisiana	ENTITY
Republican Party of Minnesota	ENTITY
Republican Party of New Mexico	ENTITY
Republican Party of Oregon	ENTITY
Republican Party of Texas	ENTITY
Republican Party of Virginia	ENTITY
Republican Party of Wisconsin	ENTITY
Republican State Central Committee of Colorado	ENTITY
Republican State Central Committee of Nevada	ENTITY
Republican State Central Committee of South Dakota	ENTITY
Republican State Comm. Of Washington	ENTITY
Republican State Committee of Delaware	ENTITY
Republican State Committee of Oklahoma	ENTITY
Republican State Committee of Pennsylvania	ENTITY
Republican State Committee of Washington	ENTITY
Republicans Who Care	ENTITY
Rich Becker	ENTITY
Richmond Hill GA Live	ENTITY
Right Change	ENTITY
Right to Life of Michigan	ENTITY
Rippeon for Congress	ENTITY
Rob Cornilles for Congress and National Republican Congressional Committee	ENTITY
Rogan for Congress Committee	ENTITY
Ruben Kihuen for Congress	ENTITY
RUFFPAC The Hillary Project	ENTITY
Samantha Anderson	ENTITY
Sanford for Congress	ENTITY
Save Our Environment	ENTITY
Schmidt for Congress	ENTITY
Schwartz for Congress	ENTITY
SEIU Cope	ENTITY
Senate Conservatives Fund	ENTITY
Senator Gilbert Baker Re-Elect Committee	ENTITY
Service Employees International Union	ENTITY
Sessions for Senate	ENTITY
Shmuley for Congress	ENTITY
Sierra Club	ENTITY
Slowinski for Congress	ENTITY
Small Business PAC	ENTITY
Softer Voices	ENTITY
South Carolina Democratic Party	ENTITY
South Carolina Republican Party	ENTITY
South Dakota Democratic Party	ENTITY
South Dakota Republican Party	ENTITY
South Dakota Republican State and Central Committee	ENTITY
South Dakota Republican State Central Committee	ENTITY
South Dakota Republican State Committee	ENTITY
Stand with Barry	ENTITY
Steve Rothman for New Jersey	ENTITY
Steve Waterworth for Congress	ENTITY
Stinchfield for Congress	ENTITY
Stop Human Cloning	ENTITY
Sue's Newsletter	ENTITY
Suffolk County Democratic Party	ENTITY
Susan B. Anthony	ENTITY
Susan Brooks for Congress	ENTITY
Swan for America	ENTITY
Taxpayers for Common Sense Action	ENTITY
Tea Party	ENTITY
Tea Party Express	ENTITY
Ted Yoho for Congress	ENTITY
Tennessee Democratic Party	ENTITY
Tennessee Republican Party	ENTITY
Terry Bellamy for Congress	ENTITY
Texans for Tom Leppert	ENTITY
Texas Democratic Party	ENTITY
Texas Victory 2002	ENTITY
The Campaign for Working Families	ENTITY
The Club for Growth	ENTITY
The Coalition: Americans Working for Real Change	ENTITY
The Friends of Steven Simpson	ENTITY
The Lantern Project	ENTITY
The League of Conservation Voters	ENTITY
The Libertarian Party	ENTITY
The Men and Women of the AFL-CIO	ENTITY
The Progressive Change Campaign Committee	ENTITY
The Republican Party of Iowa	ENTITY
The United States Chamber of Commerce	ENTITY
The Working Men and Women of the AFL-CIO	ENTITY
Tim Ryan for congress	ENTITY
Todd Robinson for U.S. Senate Georgia	ENTITY
Tom Reilly Committee	ENTITY
Tom Smith for Senate Inc.	ENTITY
Trust in Small Business PAC	ENTITY
U.S. Chamber of Commerce	ENTITY
United Seniors Association	ENTITY
United States Chamber Of Commerce	ENTITY
Upton for All of Us	ENTITY
Utah Democratic Party	ENTITY
Veterans for George	ENTITY
Vets for Freedom Action Fund	ENTITY
Video from Sand Mountain via GoPundit.com	ENTITY
VOICE	ENTITY
Voters for Choice	ENTITY
VoteVets	ENTITY
VoteVets.org	ENTITY
Wallace for Congress	ENTITY
Walorski for Congress	ENTITY
Washington Democratic Party	ENTITY
Washington State Democratic Central Committee	ENTITY
Washington State Republicans	ENTITY
Wes Riddle for Congress	ENTITY
West Virginia Values	ENTITY
Wil Cardon for U.S. Senate	ENTITY
William Capps for Senate	ENTITY
Wisconsin Democratic Party	ENTITY
womenarewatching.org	ENTITY
Woodall for Congress	ENTITY
Wright McLeod for Congress	ENTITY
Wukoson for Congress	ENTITY
www.Traditional Values.org	ENTITY
Yarbrough for Liberty Committee	ENTITY
Younts for Congress Committee	ENTITY
You're Fired - A 527 Political Organization	ENTITY
Zimmann for Congress	ENTITY
Access Board	ENTITY
Administrative Conference of the U.S.	ENTITY
African Development Foundation	ENTITY
American Battle Monuments Commission	ENTITY
Appalachian Regional Commission	ENTITY
Architect of the Capitol	ENTITY
Armed Forces Retirement Home	ENTITY
Arms Control and Disarmament Agency	ENTITY
Army Corps of Engineers	ENTITY
Centers for Disease Control and Prevention 	ENTITY
Central Intelligence Agency 	ENTITY
Commission of Fine Arts	ENTITY
Commission on Civil Rights	ENTITY
Committee for Purchase from People Who Are Blind or Severely Disabled	ENTITY
Commodity Credit Corporation	ENTITY
Commodity Futures Trading Commission	ENTITY
Community Development Financial Institutions Fund	ENTITY
Congressional Budget Office 	ENTITY
Congressional Research Service 	ENTITY
Consumer Financial Protection Bureau	ENTITY
Consumer Product Safety Commission	ENTITY
Corporation for National and Community Service	ENTITY
Corporation for Public Broadcasting	ENTITY
Defense Nuclear Facilities Safety Board	ENTITY
Delaware River Basin Commission	ENTITY
Delta Regional Authority	ENTITY
Denali Commission	ENTITY
Department of Agriculture	ENTITY
Department of Commerce	ENTITY
Department of Defense	ENTITY
Department of Education	ENTITY
Department of Energy	ENTITY
Department of Health and Human Services	ENTITY
Department of Health, Education, and Welfare	ENTITY
Department of Homeland Security	ENTITY
Department of Housing and Urban Development	ENTITY
Department of Justice	ENTITY
Department of Labor	ENTITY
Department of State	ENTITY
Department of the Interior	ENTITY
Department of the Treasury	ENTITY
Department of Transportation	ENTITY
Department of Veterans Affairs	ENTITY
Director of National Intelligence	ENTITY
Drug Enforcement Administration 	ENTITY
Election Assistance Commission	ENTITY
Environmental Protection Agency 	ENTITY
Equal Employment Opportunity Commission 	ENTITY
European Union	ENTITY
Executive Office of the President	ENTITY
Export-Import Bank of the United States	ENTITY
Farm Credit Administration	ENTITY
Federal Bureau of Investigation 	ENTITY
Federal Communications Commission 	ENTITY
Federal Crop Insurance Corporation	ENTITY
Federal Deposit Insurance Corporation 	ENTITY
Federal Election Commission 	ENTITY
Federal Emergency Management Agency 	ENTITY
Federal Energy Regulatory Commission 	ENTITY
Federal Home Loan Bank Board	ENTITY
Federal Housing Finance Agency	ENTITY
Federal Labor Relations Authority	ENTITY
Federal Maritime Commission	ENTITY
Federal Mediation and Conciliation Service	ENTITY
Federal Mine Safety and Health Review Commission	ENTITY
Federal Prison Industries, Inc.	ENTITY
Federal Reserve System	ENTITY
Federal Retirement Thrift Investment Board	ENTITY
Federal Trade Commission 	ENTITY
Financial Stability Oversight Council	ENTITY
Food and Drug Administration 	ENTITY
General Services Administration	ENTITY
Government Accountability Office 	ENTITY
Government National Mortgage Association 	ENTITY
Government Publishing Office 	ENTITY
House Committee on Agriculture	ENTITY
House Committee on Appropriations	ENTITY
House Committee on Armed Services	ENTITY
House Committee on Education and the Workforce	ENTITY
House Committee on Energy and Commerce	ENTITY
House Committee on Ethics	ENTITY
House Committee on Financial Services	ENTITY
House Committee on Foreign Affairs	ENTITY
House Committee on Homeland Security	ENTITY
House Committee on House Administration	ENTITY
House Committee on Natural Resources	ENTITY
House Committee on Oversight and Accountability	ENTITY
House Committee on Oversight and Government Reform	ENTITY
House Committee on Rules	ENTITY
House Committee on Science, Space, and Technology	ENTITY
House Committee on Small Business	ENTITY
House Committee on Standards of Official Conduct	ENTITY
House Committee on the Budget	ENTITY
House Committee on the Judiciary	ENTITY
House Committee on Transportation and Infrastructure	ENTITY
House Committee on Veterans' Affairs	ENTITY
House Committee on Ways and Means	ENTITY
House Permanent Select Committee on Intelligence	ENTITY
House Select Committee on Energy Independence and Global Warming	ENTITY
Interagency Council on Homelessness	ENTITY
Inter-American Foundation	ENTITY
Internal Revenue Service 	ENTITY
Japan-U.S. Friendship Commission	ENTITY
Joint Committee on Printing	ENTITY
Joint Committee on Taxation	ENTITY
Joint Committee on the Library	ENTITY
Joint Economic Committee	ENTITY
Legal Services Corporation	ENTITY
Library of Congress	ENTITY
Marine Mammal Commission	ENTITY
Medicare Payment Advisory Commission	ENTITY
Merit Systems Protection Board	ENTITY
National Aeronautics and Space Administration	ENTITY
National Archives and Records Administration	ENTITY
National Capital Planning Commission	ENTITY
National Commission on Libraries and Information Science	ENTITY
National Council on Disability	ENTITY
National Credit Union Administration	ENTITY
National Foundation on the Arts and the Humanities	ENTITY
National Indian Gaming Commission	ENTITY
National Institutes of Health 	ENTITY
National Labor Relations Board 	ENTITY
National Mediation Board	ENTITY
National Railroad Passenger Corporation 	ENTITY
National Science Foundation	ENTITY
National Security Agency	ENTITY
National Transportation Safety Board 	ENTITY
Neighborhood Reinvestment Corporation	ENTITY
Nuclear Regulatory Commission 	ENTITY
Nuclear Waste Technical Review Board	ENTITY
Occupational Safety and Health Review Commission	ENTITY
Office of Government Ethics	ENTITY
Office of Management and Budget 	ENTITY
Office of Personnel Management 	ENTITY
Office of Science and Technology Policy	ENTITY
Office of Special Counsel	ENTITY
Office of the U.S. Trade Representative	ENTITY
Organization of American States	ENTITY
Peace Corps	ENTITY
Pension Benefit Guaranty Corporation	ENTITY
Postal Regulatory Commission	ENTITY
Privacy and Civil Liberties Oversight Board	ENTITY
Railroad Retirement Board	ENTITY
Securities and Exchange Commission 	ENTITY
Selective Service System	ENTITY
Senate Committee on Agriculture, Nutrition, and Forestry	ENTITY
Senate Committee on Appropriations	ENTITY
Senate Committee on Armed Services	ENTITY
Senate Committee on Banking, Housing, and Urban Affairs	ENTITY
Senate Committee on Commerce, Science, and Transportation	ENTITY
Senate Committee on Energy and Natural Resources	ENTITY
Senate Committee on Environment and Public Works	ENTITY
Senate Committee on Finance	ENTITY
Senate Committee on Foreign Relations	ENTITY
Senate Committee on Health, Education, Labor, and Pensions	ENTITY
Senate Committee on Homeland Security and Governmental Affairs	ENTITY
Senate Committee on Indian Affairs	ENTITY
Senate Committee on Rules and Administration	ENTITY
Senate Committee on Small Business and Entrepreneurship	ENTITY
Senate Committee on the Budget	ENTITY
Senate Committee on the Judiciary	ENTITY
Senate Committee on Veterans' Affairs	ENTITY
Senate Select Committee on Ethics	ENTITY
Senate Select Committee on Intelligence	ENTITY
Senate Special Committee on Aging	ENTITY
Small Business Administration	ENTITY
Smithsonian Institution	ENTITY
Social Security Administration	ENTITY
Surface Transportation Board	ENTITY
Tennessee Valley Authority	ENTITY
Trade and Development Agency	ENTITY
U.S. Agency for Global Media	ENTITY
U.S. Agency for International Development 	ENTITY
U.S. Commission on International Religious Freedom	ENTITY
U.S. Holocaust Memorial Council	ENTITY
U.S. Institute of Peace	ENTITY
U.S. International Development Finance Corporation	ENTITY
U.S. International Trade Commission	ENTITY
U.S. Postal Service	ENTITY
U.S. Sentencing Commission	ENTITY
United Nations	ENTITY
United States Agency for Global Media	ENTITY
United States Agency for International Development 	ENTITY
United States Commission on International Religious Freedom	ENTITY
United States Holocaust Memorial Council	ENTITY
United States Institute of Peace	ENTITY
United States International Development Finance Corporation	ENTITY
United States International Trade Commission	ENTITY
United States Postal Service	ENTITY
United States Sentencing Commission	ENTITY
United States  Chamber of Commerce	ENTITY
Wil Cardon for United States  Senate	ENTITY
United States  Agency for Global Media	ENTITY
United States  Agency for International Development 	ENTITY
United States  Commission on International Religious Freedom	ENTITY
United States  Holocaust Memorial Council	ENTITY
United States  Institute of Peace	ENTITY
United States  International Development Finance Corporation	ENTITY
United States  International Trade Commission	ENTITY
United States  Postal Service	ENTITY
United States  Sentencing Commission	ENTITY
Alabama	LOCATION
Alaska	LOCATION
Arizona	LOCATION
